crop_name,unit,price_2019_20,price_2020_21,price_2021_22,price_2022_23,price_2023_24,price_2024_25
Paddy (Summer),100 Basket,520000.0,700000,650000.0,951000,1647100,1500000.0
Paddy (Monsoon),100 Basket,500000.0,650000,810000.0,910000,1941499,1800000.0
Wheat,Ton,497700.0,808860,847500.0,1058760,1258000,2100573.0
Maize,Ton,305440.0,458260,423000.0,754000,783231,1045990.0
Matpe (Black Gram),Ton,995550.0,1333590,1675000.0,2189000,2605488,2883000.0
Pedisein (Green Gram),Ton,1119990.0,1360530,1320000.0,1916000,2161413,3038000.0
Butter Bean,Ton,941400.0,1391890,1395700.0,1397000,2410304,3697660.0
Bocate (Cow Pea),Ton,902200.0,951180,987500.0,1002000,1695173,3072003.0
Sultani,Ton,811500.0,1354200,1277000.0,1477471,1848448,3082219.0
Sultapya,Ton,811500.0,1288800,1254000.0,1487441,1553888,2728350.0
Peboke (Soy Bean),Ton,684440.0,1149500,1140000.0,1742873,1827667,4103315.0
Gram (Chick Pea),Ton,957600.0,1381080,1570000.0,1953840,2265408,2831465.0
Pelun,Ton,902200.0,1180600,1195500.0,1200000,1551116,2273931.0
Pesingon (Pigeon Pea),Ton,715500.0,1076100,1210000.0,2231000,2397199,2945000.0
Peyin (Rice Bean),Ton,556000.0,880400,997500.0,997500,1840005,2630654.0
Pebyugale (Duffin Bean),Ton,487000.0,1276900,1210000.0,1210000,1646688,1652400.0
Pegyi (Lablab Bean),Ton,1038820.0,1633300,1665000.0,1665000,2838784,2823837.0
Sadawpe (Garden Pea),Ton,933300.0,1695490,1667000.0,2787188,2885852,3564265.0
Peyazar (Lentil Bean),Ton,1804000.0,1512700,1557000.0,1557000,2244586,5388467.0
Penauk (Krishna Mung),Ton,1244400.0,1259900,1358000.0,1358000,1870199,2708761.0
Groundnut (Rain),Ton,1075100.0,1147500,1400000.0,1450000,1468310,1017986.0
Groundnut (Winter),Ton,1075100.0,1147500,1400000.0,1450000,1451950,1017986.0
Sesamum (Early),Ton,, ,2115000.0,3659000,3658684,5919667.0
Sesamum (Late),Ton,2157040.0,2163800,2115000.0,3700000,4210370,5919667.0
Sunflower,Ton,1189970.0,1470000,1780000.0,2356000,2775570,3640000.0
Mustard,Ton,1050000.0,,, ,1803138,
Cotton (Wagyi),Ton,734868.0,734868,796107.0,1286019,1657127,2265843.0
Cotton (Mahlaing 5/6),Ton,734868.0,734868,796107.0,1286019,1657127,2265843.0
Cotton (Long Staple),Ton,811417.0,887965,1041063.0,1469736,1845131,2633277.0
Jute,Ton,489912.0,489912,489912.0,551151,612390,612390.0
Rubber,Ton,1630960.0,2821120,2241468.0,2937932,3517584,6677794.0
Sugarcane,Ton,33000.0,33000,65000.0,100000,150000,200000.0
Tobacco,Ton,3733320.0,2296500,2550000.0,2600000,5404088,6845705.0
Betel Nut,Ton,4044000.0,4776720,3735000.0,3735000,5494738,8526379.0
Betel Leaves,Ton,4355540.0,3858120,3960000.0,3960000,6130513,10154549.0
Chillies (Dry),Ton,4355500.0,3062000,9750000.0,9750000,10385550,11544362.0
Chillies (Green),Ton,933300.0,1775960,1788000.0,1788000,3457563,5856539.0
Onion,Ton,1244440.0,612400,655000.0,985000,1677638,1900982.0
Garlic,Ton,1866660.0,2204640,2385000.0,2385000,4685625,9839364.0
Potato,Ton,746600.0,1531000,1585000.0,1585000,1759100,3535364.0
Coffee,Ton,3800000.0,4000000,5000000.0,5000000,8000000,9000000.0
Tea (Green),Ton,1866660.0,2694560,2800500.0,2800500,4289819,5528878.0
Coconut,Each,800.0,985,1500.0,1500,1500,3000.0
Tapioca,Ton,622000.0,701198,712000.0,712000,712000,668715.0
