sn_crop,unit,2016_2017,2017_2018,2018_Apr_Sep,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025
1. Paddy,46lb(basket),75,76,77,82,84,,,,,
2. Wheat,72lb(basket),24,23,23,23,24,,,,,
3. Maize,55lb(basket),64,62,63,65,64,,,,,
4. Groundnut (a) Rain,25lb(basket),43,45,46,51,52,,,,,
4. Groundnut (b) Winter,25lb(basket),62,62,62,64,65,,,,,
5. Sesamum (a) Early,54lb(basket),5,6,6,7,8,,,,,
5. Sesamum (b) Late,54lb(basket),13,13,13,13,13,,,,,
6. Cotton (a) Wagyi,Viss,118,133,137,138,140,,,,,
6. Cotton (b) Mahlaing 5/6,Viss,102,106,111,112,112,,,,,
6. Cotton (c) Long Staple,Viss,459,475,468,498,509,,,,,
7. Jute,Viss,295,322,277,248,310,,,,,
8. Kenaf,Viss,195,203,239,196,160,,,,,
9. Rubber,lb,709,670,716,725,727,,,,,
10. Matpe(Black gram),72lb(basket),18,18,18,22,24,,,,,
11. Pedisein(Green gram),72lb(basket),16,16,16,18,18,,,,,
12. Bocate(Cow pea),72lb(basket),16,16,16,17,17,,,,,
13. Peboke(Soy bean),72lb(basket),19,19,19,19,19,,,,,
14. Pelun,72lb(basket),16,16,16,17,16,,,,,
15. Pesingon(Pigeon pea),72lb(basket),14,14,13,14,14,,,,,
16. Peyin(Rice bean),72lb(basket),14,14,15,15,16,,,,,
17. Sadawpe(Garden pea),72lb(basket),15,15,16,16,16,,,,,
18. Peyazar(Lentil bean),72lb(basket),12,11,,12,12,12,12,12,12,12
19. Penauk(Krishna mung),72lb(basket),13,12,6,11,11,11,11,11,13,13
20. Butter bean,69lb(basket),18,15,13,15,15,14,14,15,15,15
21. Sultani,69lb(basket),17,16,,15,15,15,14,15,15,17
22. Sultapya,69lb(basket),16,16,,16,16,16,16,15,16,16
23. Gram(Chick pea),69lb(basket),20,18,,18,17,18,17,17,17,18
24. Pebyugale(Duffin bean),69lb(basket),14,14,9,14,14,14,14,14,14,15
25. Pegyi(Lablab bean),69lb(basket),17,15,14,15,15,15,15,15,16,16
26. Pegya(Lima bean),69lb(basket),14,14,11,14,14,14,14,13,13,13
27. Chillies,Viss,296,301,300,300,318,322,324,344,363,363
28. Onion,Viss,4042,3634,1773,3618,3641,3691,3707,3692,3726,3960
29. Garlic,Viss,1869,1853,,1858,1860,1877,1866,1882,1886,1911
30. Potato,Viss,3820,3849,4037,3852,3901,3905,3844,3870,3880,3929
31. Tobacco(dry)(Virginia),Viss,359,406,,577,430,442,457,470,481,495
32. Tobacco(dry)(Myanmar),Viss,479,472,,468,491,497,503,498,502,514
33. Sugarcane,long ton,26,26,,26,26,26,27,27,28,28
34. Tapioca,Viss,2932,2893,2967,2977,2988,2996,3039,3447,4116,4097
35. Tea,Viss,299,297,277,405,371,313,274,296,282,278
36. Coffee,Viss,174,174,143,174,173,173,178,177,177,175
