Category,Commodity,Unit,20-07-2026,21-07-2026,22-07-2026,23-07-2026,24-07-2026
Rice,"Rice (Emata Medium, Sinthwe Old)",Kyat/Pyl,4200,4200,4200,4200,4200
Rice,"Rice (ShweBo Pawsan Medium, Old)",Kyat/Pyl,8000,8000,8000,8000,8000
Edible Oil,Groundnut oil (Special) (A May Htwar),Kyat/Viss,27500,27500,27500,27500,27500
Edible Oil,Groundnut oil (Medium),Kyat/Viss,22000,22000,22000,22000,22000
Edible Oil,Sesamum oil (Hnan Oo Yee Thant),Kyat/Viss,24600,24600,24600,24600,24600
Edible Oil,Palm Oil (Not include box_Measurement),Kyat/Viss,7620,7620,7620,7620,7620
Pulses,Gram,Kyat/Viss,7500,7500,7500,7500,7500
Pulses,Penilay (Myanmar),Kyat/Viss,18000,18000,18000,18000,18000
Pulses,Pegyi,Kyat/Viss,13500,13500,13500,13500,13500
Pulses,Satawpe,Kyat/Viss,20000,20000,20000,20000,20000
Spices,Dried Chillies (Long),Kyat/Viss,28000,28000,28000,28000,28000
Spices,"Garlic (ShanHmwar,Medium)",Kyat/Viss,16000,16000,16000,16000,16000
Spices,"Onion (SeikPhyu, Medium)",Kyat/Viss,5300,5500,5500,5500,5500
Spices,Potato (Medium Size),Kyat/Viss,4800,4800,4800,4800,4800
"Meat, Fish and Prawn",Chicken (Slice),Kyat/Viss,24000,24000,25000,25000,26000
"Meat, Fish and Prawn",Pork (Belly),Kyat/Viss,35000,35000,35000,35000,35000
"Meat, Fish and Prawn",Beef (without bone),Kyat/Viss,38000,38000,38000,38000,38000
"Meat, Fish and Prawn",Mutton (without bone),Kyat/Viss,90000,90000,90000,90000,90000
"Meat, Fish and Prawn","Ngakhu (Yecho, Medium)",Kyat/Viss,48000,48000,48000,48000,48000
"Meat, Fish and Prawn",Ngagyi (Medium),Kyat/Viss,50000,50000,50000,50000,50000
"Meat, Fish and Prawn","Ngathalauk (Whole, Medium)",Kyat/Viss,47000,47000,47000,47000,48000
"Meat, Fish and Prawn","Ngagyin (Slice, Medium)",Kyat/Viss,35000,35000,35000,35000,35000
"Meat, Fish and Prawn","Ngamyitchin (Slice, Medium)",Kyat/Viss,22000,22000,22000,22000,23000
"Meat, Fish and Prawn",Lobster (Medium/13 cm),Kyat/Viss,70000,70000,70000,70000,70000
"Meat, Fish and Prawn",Pazunkyawt (4 cm),Kyat/Viss,33000,33000,30000,30000,30000
Gold,Gold (24 carat),Kyat/Tical,6900000,6900000,6900000,6950000,6950000
