region,crop_category,year,sown_acres,harvested_acres,production_tons,measurement_type
Mandalay,Coffee,2019-20,5845,2385,541,
Mandalay,Coffee,2020-21,5866,2386,543,
Mandalay,Coffee,2021-22,5866,2387,541,
Mandalay,Coffee,2022-23,10741,2387,560,
Mandalay,Coffee,2023-24,10953,2404,565,
Mandalay,Coffee,2024-25,10981,2509,589,
Mandalay,Fruits,2019-20,76258,53069,0,
Mandalay,Fruits,2020-21,76987,54280,0,
Mandalay,Fruits,2021-22,78867,53876,0,
Mandalay,Fruits,2022-23,82129,67285,0,
Mandalay,Fruits,2023-24,82815,63267,0,
Mandalay,Fruits,2024-25,82992,54792,0,
Mandalay,Plantain,2019-20,9861,9634,10335,
Mandalay,Plantain,2020-21,10316,9726,10433,
Mandalay,Plantain,2021-22,10478,9449,10374,
Mandalay,Plantain,2022-23,12269,10438,11365,
Mandalay,Plantain,2023-24,12907,12363,13035,
Mandalay,Plantain,2024-25,13230,12835,13551,
Mandalay,Potato,2019-20,2072,2072,8431,
Mandalay,Potato,2020-21,1756,1756,7399,
Mandalay,Potato,2021-22,2083,2083,8482,
Mandalay,Potato,2022-23,2071,2071,8428,
Mandalay,Potato,2023-24,2110,2110,8580,
Mandalay,Potato,2024-25,2123,2123,8602,
Mandalay,Sugarcane,2019-20,30563,30563,751482,
Mandalay,Sugarcane,2020-21,26525,26525,658887,
Mandalay,Sugarcane,2021-22,30506,30506,732452,
Mandalay,Sugarcane,2022-23,21325,21325,544819,
Mandalay,Sugarcane,2023-24,22022,22022,539360,
Mandalay,Sugarcane,2024-25,19954,19954,500034,
Mandalay,Tea,2019-20,17519,16905,8767,
Mandalay,Tea,2020-21,17519,16908,8777,
Mandalay,Tea,2021-22,17520,16911,8777,
Mandalay,Tea,2022-23,17520,16913,8779,
Mandalay,Tea,2023-24,17524,17300,8781,
Mandalay,Tea,2024-25,17524,16955,8798,
Mandalay,Toddy_Palm,2019-20,22268,21875,122462,
Mandalay,Toddy_Palm,2020-21,22265,21134,105135,
Mandalay,Toddy_Palm,2021-22,22265,21134,103543,
Mandalay,Toddy_Palm,2022-23,22265,21134,92006,
Mandalay,Toddy_Palm,2023-24,22265,20268,105646,
Mandalay,Toddy_Palm,2024-25,22265,13618,63644,
Mandalay,Vegetables,2019-20,133288,133288,0,
Mandalay,Vegetables,2020-21,130304,130034,0,
Mandalay,Vegetables,2021-22,133767,133767,0,
Mandalay,Vegetables,2022-23,127170,127168,0,
Mandalay,Vegetables,2023-24,127021,127021,0,
Mandalay,Vegetables,2024-25,127173,126376,0,
Bago,Coffee,2020-21,111,70,17,
Bago,Coffee,2021-22,66,25,8,
Bago,Coffee,2022-23,123,7,2,
Bago,Coffee,2023-24,185,7,2,
Bago,Coffee,2024-25,954,7,2,
Bago,Fruits,2020-21,202145,189767,0,
Bago,Fruits,2021-22,201250,187262,0,
Bago,Fruits,2022-23,202729,187485,0,
Bago,Fruits,2023-24,202907,189292,0,
Bago,Fruits,2024-25,228897,197679,0,
Bago,Plantain,2020-21,14938,14938,25696,
Bago,Plantain,2021-22,14998,14998,25770,
Bago,Plantain,2022-23,16013,15983,27850,
Bago,Plantain,2023-24,16071,16041,25529,
Bago,Plantain,2024-25,16072,16071,24911,
Bago,Potato,2020-21,100,100,507,
Bago,Potato,2021-22,49,49,237,
Bago,Potato,2022-23,27,27,120,
Bago,Potato,2023-24,27,27,120,
Bago,Potato,2024-25,27,27,120,
Bago,Sugarcane,2020-21,53781,53781,1413587,
Bago,Sugarcane,2021-22,48293,48293,1291498,
Bago,Sugarcane,2022-23,49524,49524,1332806,
Bago,Sugarcane,2023-24,52952,52952,1809446,
Bago,Sugarcane,2024-25,54257,54257,1873586,
Bago,Tea,2020-21,0,0,17,
Bago,Tea,2021-22,0,0,8,
Bago,Tea,2022-23,0,0,2,
Bago,Tea,2023-24,0,0,2,
Bago,Tea,2024-25,0,0,2,
Bago,Toddy_Palm,2020-21,878,878,3072,
Bago,Toddy_Palm,2021-22,869,869,1921,
Bago,Toddy_Palm,2022-23,815,815,2379,
Bago,Toddy_Palm,2023-24,815,815,2380,
Bago,Toddy_Palm,2024-25,815,802,2200,
Bago,Vegetables,2020-21,127517,127448,0,
Bago,Vegetables,2021-22,125954,125954,0,
Bago,Vegetables,2022-23,120515,120515,0,
Bago,Vegetables,2023-24,224295,224295,0,
Bago,Vegetables,2024-25,284665,282796,0,
Shan,Tea,2019-20,201599,187935,0,Sown
Shan,Tea,2019-20,187935,187935,0,Harvested
Shan,Tea,2019-20,113114,113114,113114,Production
Shan,Coffee,2019-20,27499,17474,0,Sown
Shan,Coffee,2019-20,17474,17474,0,Harvested
Shan,Coffee,2019-20,5279,5279,5279,Production
Shan,Sugarcane,2019-20,153076,153076,4199835,Sown
Shan,Sugarcane,2019-20,153076,153076,4199835,Harvested
Shan,Sugarcane,2019-20,4199835,4199835,4199835,Production
Shan,Toddy_Palm,2019-20,0,0,0,Sown
Shan,Toddy_Palm,2019-20,0,0,0,Harvested
Shan,Toddy_Palm,2019-20,0,0,0,Production
Shan,Potato,2019-20,52586,52586,352977,Sown
Shan,Potato,2019-20,52586,52586,352977,Harvested
Shan,Potato,2019-20,352977,352977,352977,Production
Shan,Plantain,2019-20,22989,22760,16370,Sown
Shan,Plantain,2019-20,22760,22760,16370,Harvested
Shan,Plantain,2019-20,16370,16370,16370,Production
Shan,Vegetables,2019-20,204086,204082,0,Sown
Shan,Vegetables,2019-20,204082,204082,0,Harvested
Shan,Vegetables,2019-20,0,0,0,Production
Shan,Fruits,2019-20,99534,78745,0,Sown
Shan,Fruits,2019-20,78745,78745,0,Harvested
Shan,Fruits,2019-20,0,0,0,Production
Shan,Tea,2020-21,202378,188727,0,Sown
Shan,Tea,2020-21,188727,188727,0,Harvested
Shan,Tea,2020-21,92664,92664,92664,Production
Shan,Coffee,2020-21,27537,17414,0,Sown
Shan,Coffee,2020-21,17414,17414,0,Harvested
Shan,Coffee,2020-21,5347,5347,5347,Production
Shan,Sugarcane,2020-21,156170,156170,4287923,Sown
Shan,Sugarcane,2020-21,156170,156170,4287923,Harvested
Shan,Sugarcane,2020-21,4287923,4287923,4287923,Production
Shan,Toddy_Palm,2020-21,0,0,0,Sown
Shan,Toddy_Palm,2020-21,0,0,0,Harvested
Shan,Toddy_Palm,2020-21,0,0,0,Production
Shan,Potato,2020-21,51296,51296,342810,Sown
Shan,Potato,2020-21,51296,51296,342810,Harvested
Shan,Potato,2020-21,342810,342810,342810,Production
Shan,Plantain,2020-21,19742,18885,13629,Sown
Shan,Plantain,2020-21,18885,18885,13629,Harvested
